 |Site1|Site2|Site3|Site4|Site5|Site6|Site7|Site8|Site9|Site10|Site11|Site12|Site13|Site14|Site15|Site16|Site17|Site18|Site19|Site20|Site21|Site22|Site23|Site24|Site25|Site26|Site27|Site28|Site29|Site30|Site31|Site32|Site33|Site34|Site35|Site36|Site37|Site38|Site39|Site40|Site41|Site42|Site43|Site44|Site45|Site46|Site47|Site48|Site49|Site50|Site51|Site52|Site53|Site54|Site55|Site56|Site57|Site58|Site59|Site60|Site61|Site62|Site63|Site64|Site65|Site66|Site67|Site68|Site69|Site70|Site71|Site72|Site73|Site74|Site75|Site76|Site77|Site78|Site79|Site80|Site81|Site82|Site83|Site84|Site85|Site86|Site87
|Hour of Promise|15|8|5|1|3|1|1|0|2|12|32|6|1|1|2|5|2|3|4|2|1|3|8|107|4|0|1|7|24|5|11|8|3|0|10|2|22|16|2|2|4|6|0|1|5|5|5|5|2|2|2|0|2|2|2|14|2|4|3|0|0|1|0|1|1|5|46|2|6|13|2|2|0|2|0|8|3|13|0|1|11|1|17|0|2|4|2
|Endless Sands|138|8|5|3|0|1|6|0|9|6|3|15|1|2|24|2|0|5|4|20|11|2|39|37|10|0|1|18|31|5|5|3|14|47|10|16|42|14|7|0|7|3|2|0|0|8|0|32|1|3|2|0|0|2|2|4|1|1|2|4|5|2|0|12|1|3|8|2|0|13|11|20|2|2|0|8|3|4|0|1|1|1|17|0|2|4|2
|Ominous Sphinx|69|8|5|2|0|1|0|1|0|15|0|5|1|6|57|0|10|22|21|10|5|6|56|103|28|5|12|68|20|1|9|1|5|38|12|7|93|63|7|0|7|23|4|13|7|8|9|8|2|3|0|0|0|13|2|12|0|4|0|1|1|4|0|12|6|0|39|2|1|13|22|18|2|2|0|3|3|17|0|0|38|6|17|0|2|4|2
|Consign // Oblivion|125|8|2|2|0|1|1|12|3|20|20|6|1|7|49|0|15|20|10|27|14|2|37|92|12|6|3|43|3|7|20|0|25|12|22|6|53|20|7|0|7|0|0|38|5|5|5|65|2|3|0|2|2|5|2|0|0|4|6|7|5|2|0|18|3|0|12|2|0|13|21|26|3|2|0|8|3|7|0|0|5|6|17|0|2|4|2
|Hour of Eternity|0|8|0|0|7|1|2|2|14|55|22|6|1|3|3|2|1|3|2|7|13|5|20|108|20|6|7|4|53|7|2|2|31|65|8|2|14|26|7|1|7|1|0|0|3|12|0|6|2|3|1|1|1|0|2|8|1|2|0|1|2|0|0|7|1|1|25|2|1|13|12|3|3|2|0|8|3|2|0|4|15|6|17|0|2|4|2
|Hazoret's Undying Fury|100|8|0|3|7|1|7|4|22|3|2|4|1|1|3|0|24|1|1|0|35|5|17|198|14|1|4|13|110|7|3|3|19|91|8|19|15|3|7|0|2|2|4|53|6|3|3|10|1|3|0|1|1|1|2|8|1|6|0|1|0|4|0|3|7|2|42|2|0|13|19|11|2|2|0|2|3|0|0|3|12|6|17|0|2|4|2
|Razaketh's Rite|95|8|1|2|0|1|1|15|56|7|15|12|1|5|54|0|38|4|29|26|92|3|32|66|30|1|1|33|63|2|11|1|35|136|23|1|52|3|7|0|2|14|8|4|3|19|2|24|1|3|3|0|0|5|2|21|1|2|4|6|0|1|0|10|7|0|23|2|0|13|46|43|3|2|0|1|3|3|0|0|13|0|17|0|2|4|2
|Kefnet's Last Word|0|8|1|3|5|1|6|14|12|17|16|7|1|2|3|1|7|8|0|10|0|3|16|52|34|6|2|3|56|2|3|3|19|61|2|1|48|11|7|1|5|7|1|56|3|10|0|14|1|3|1|1|0|5|2|0|1|13|2|0|3|2|0|3|7|8|55|2|2|13|9|6|2|2|0|1|3|4|0|4|5|0|17|0|2|4|2
|Merciless Eternal|97|8|1|1|0|1|0|10|39|103|12|2|1|8|43|0|31|2|13|14|4|1|19|5|22|1|2|4|43|3|42|1|3|158|4|8|28|65|7|1|5|39|12|16|12|27|11|49|1|6|0|0|2|2|2|23|1|4|2|4|1|4|0|8|9|0|14|2|0|13|29|36|1|2|0|10|3|10|0|0|13|0|17|0|2|4|2
|Bloodwater Entity|51|8|1|2|0|1|0|10|17|85|21|5|1|9|3|0|20|3|14|10|51|6|5|0|18|1|11|0|29|4|13|0|21|31|4|8|96|59|7|0|5|36|1|23|8|32|8|19|1|1|0|0|1|4|2|0|0|11|2|2|6|9|0|11|8|0|23|2|1|13|3|58|5|2|0|1|3|16|0|0|16|2|17|0|2|4|2
|God-Pharaoh's Faithful|94|8|1|0|0|1|0|11|110|10|0|43|1|40|55|0|26|23|2|14|22|34|17|13|13|12|12|16|2|0|14|0|0|129|0|28|0|139|7|0|5|82|3|1|17|22|15|4|14|5|0|0|0|13|2|4|0|14|1|13|12|2|0|9|13|0|35|2|0|13|40|58|0|2|0|11|3|0|0|0|7|14|17|0|2|4|2
|Eternal of Harsh Truths|69|8|1|0|0|1|0|16|34|128|3|8|1|1|51|0|13|2|22|12|25|1|6|20|17|1|3|27|48|6|49|2|3|150|13|6|12|0|7|0|5|12|9|30|9|29|3|28|7|0|0|0|0|4|2|4|0|3|1|8|9|1|0|22|11|0|72|1|0|13|42|24|2|2|0|2|3|14|0|0|0|2|17|0|2|4|2
|Frontline Devastator|151|8|11|0|0|1|0|15|47|86|10|38|1|19|72|0|31|26|3|20|20|16|22|13|26|8|32|29|49|1|85|0|8|77|48|18|28|116|7|0|5|79|34|2|9|18|23|15|5|1|0|0|0|8|2|43|0|2|0|12|15|0|0|40|41|0|16|1|0|13|96|23|1|2|0|18|3|48|0|0|0|1|17|0|2|4|2
|Vizier of the Anointed|97|8|2|0|0|1|2|10|36|46|1|1|1|8|56|0|38|18|43|24|11|12|19|43|16|6|8|20|3|4|48|1|18|94|0|7|29|38|7|0|5|46|11|64|0|6|11|15|1|1|0|0|1|6|2|2|0|5|2|10|6|6|0|5|8|0|19|1|0|13|52|72|2|2|0|0|3|11|0|0|29|9|17|0|2|4|2
|Crested Sunmare|2|8|0|2|1|1|3|4|8|0|2|4|1|1|56|1|3|18|43|24|24|12|0|15|9|6|0|20|0|4|1|1|15|5|0|7|8|1|7|1|0|2|1|0|1|6|11|3|0|4|2|0|1|6|2|3|6|5|2|2|6|6|0|2|7|3|19|1|1|13|2|5|1|2|0|0|3|4|0|1|29|1|17|0|2|4|2
|Leave // Chance|94|8|1|2|2|1|6|3|16|15|8|1|1|1|5|0|14|11|2|5|30|4|38|155|17|1|1|19|51|4|2|2|42|42|5|8|42|5|7|0|5|2|3|5|4|16|4|17|2|0|0|1|2|7|2|1|6|5|2|4|1|8|0|10|11|0|50|1|1|13|7|4|1|2|0|0|3|4|0|1|7|1|17|0|2|4|2
|Majestic Myriarch|17|8|1|1|2|1|9|3|17|14|7|6|1|3|4|2|1|0|2|1|11|4|14|9|0|1|7|4|6|4|0|3|10|5|5|0|8|3|6|6|2|2|3|7|2|2|4|10|4|0|6|1|2|7|2|3|6|14|2|4|1|0|0|0|0|6|50|1|5|13|8|6|1|2|0|2|3|4|0|1|6|1|17|0|2|4|2
|Abandoned Sarcophagus|119|8|1|0|1|1|1|6|22|32|5|0|1|4|17|1|4|6|2|18|27|3|46|69|9|5|0|0|59|4|12|1|21|87|4|5|4|0|6|0|5|2|4|52|1|18|10|6|0|0|1|0|1|3|2|3|1|5|2|2|1|2|0|16|2|4|5|1|0|13|0|13|2|2|0|0|3|8|0|2|3|1|17|0|2|4|2
|Seer of the Last Tomorrow|149|8|5|0|0|1|0|5|140|194|72|37|1|21|15|0|18|36|4|23|23|6|0|49|28|13|8|0|53|4|108|0|5|132|50|30|40|116|6|0|5|0|15|26|15|4|26|4|3|4|0|0|1|10|2|20|1|6|0|19|25|6|0|36|10|0|28|1|0|13|137|3|2|2|0|0|3|32|0|0|0|1|17|0|2|4|2
|Tragic Lesson|95|8|0|0|0|1|0|2|98|76|50|5|1|0|16|0|5|40|26|15|3|1|30|38|5|0|25|27|18|4|60|0|11|18|48|27|40|53|6|0|5|66|6|12|2|26|18|24|1|2|0|0|4|9|2|4|1|1|3|7|30|4|0|6|3|0|41|1|0|13|6|3|2|2|0|7|3|19|0|0|5|11|17|0|2|4|2
|Hour of Devastation|30|8|0|2|2|1|4|2|23|17|1|7|1|2|16|9|1|40|3|15|2|10|30|95|1|0|0|4|5|4|11|3|23|97|48|7|18|7|6|2|1|3|6|42|4|26|1|5|10|1|3|0|4|0|2|2|2|1|2|7|30|1|0|2|14|1|41|1|9|13|0|1|2|0|0|0|3|2|0|4|4|3|17|0|2|4|2
|Life Goes On|31|8|10|1|2|1|1|13|65|70|29|30|1|4|8|0|48|0|8|26|65|10|30|0|0|2|11|8|44|4|88|0|6|27|48|8|28|100|2|0|1|0|19|42|1|26|13|33|2|0|3|0|2|1|2|42|2|1|2|4|30|4|0|0|14|0|19|1|0|13|24|61|2|1|0|18|3|5|0|0|14|12|17|0|2|4|2
|Survivors' Encampment|41|8|1|0|2|1|0|10|23|192|66|20|1|15|34|0|6|3|36|9|20|2|12|56|66|10|5|43|19|4|104|1|3|136|41|6|12|9|8|0|1|43|19|1|5|4|18|0|10|0|0|0|2|8|2|65|2|6|15|8|6|2|0|22|8|0|9|1|0|13|42|24|0|1|0|0|3|49|0|0|30|12|17|0|2|4|2
|Rhonas's Stalwart|88|8|11|0|0|1|0|2|157|121|47|14|1|0|10|0|36|36|11|8|7|30|44|43|24|8|22|19|68|4|55|0|15|40|30|30|12|0|8|0|1|0|10|13|19|4|0|27|19|2|0|0|2|7|2|62|2|6|4|12|28|2|0|28|26|0|7|1|0|13|136|151|0|1|0|37|3|52|0|0|3|8|17|0|2|4|2
|Dutiful Servants|123|8|7|0|0|1|0|11|14|163|5|32|1|49|35|0|5|8|15|25|11|5|84|38|8|16|21|21|55|4|44|0|0|92|28|38|24|164|8|0|1|130|22|23|0|0|20|26|17|2|0|0|2|0|2|80|2|3|3|16|30|2|0|40|18|0|14|1|0|13|128|151|0|1|0|2|3|35|0|0|18|13|17|0|2|4|2
|Wretched Camel|131|8|6|0|0|1|0|2|101|102|38|42|1|16|66|0|9|4|8|4|32|0|53|14|10|11|1|34|60|1|43|0|3|48|10|8|31|133|8|0|1|86|0|25|8|24|29|40|11|4|0|0|2|17|2|4|2|5|14|14|5|8|0|18|27|0|2|1|0|13|41|20|14|1|0|2|3|15|0|0|57|20|17|0|2|4|2
|Manticore Eternal|0|8|6|0|0|1|0|14|50|53|0|0|1|4|14|0|0|1|28|0|71|4|52|66|40|7|0|32|13|0|4|0|6|90|23|2|32|0|8|0|1|29|0|45|9|26|6|11|5|2|0|0|1|3|2|0|0|6|1|6|0|3|0|13|10|0|48|1|0|13|42|19|8|1|0|5|3|15|0|0|46|4|17|0|2|4|2
|Mummy Paramount|9|8|9|0|0|1|0|16|142|85|87|14|1|48|0|0|26|22|0|8|54|2|58|5|13|32|18|2|16|0|117|0|17|29|3|6|64|154|8|0|1|28|20|15|6|11|0|20|4|7|0|0|1|26|2|56|0|8|2|13|26|5|0|6|0|0|2|1|0|13|134|19|5|1|0|6|3|2|0|0|23|8|17|0|2|4|2
|Sifter Wurm|9|8|2|0|0|1|0|7|30|58|0|5|1|4|61|0|17|12|11|34|57|0|22|0|27|6|4|57|53|1|0|1|63|167|20|5|26|19|8|0|1|40|13|26|0|8|14|42|0|0|0|0|1|4|2|14|0|7|2|2|3|7|0|6|23|0|35|1|0|13|9|57|5|1|0|12|3|4|0|0|17|2|17|0|2|4|2
|Sunscourge Champion|14|8|2|1|0|1|1|10|23|108|8|5|1|3|2|0|11|3|3|10|37|5|1|8|4|0|7|30|64|7|22|1|25|40|10|5|128|3|8|0|1|29|10|32|3|9|0|5|0|4|0|0|0|2|2|14|0|7|5|2|4|2|0|0|23|0|34|1|0|13|13|57|4|1|0|3|3|9|0|0|16|10|17|0|2|4|2
|Apocalypse Demon|0|8|1|2|2|1|4|2|5|14|29|10|1|8|21|0|0|8|2|2|31|6|25|106|11|3|3|10|9|7|5|4|11|11|0|5|25|3|8|0|2|29|2|17|2|2|2|10|0|4|1|0|2|2|2|9|3|8|0|3|1|2|1|14|8|4|72|1|1|13|8|24|1|1|0|4|3|9|0|1|1|0|17|0|2|4|2
|Ambuscade|156|8|10|0|0|1|0|10|133|0|98|4|1|48|70|0|5|4|0|14|82|19|15|18|10|26|5|27|20|1|0|0|7|120|33|30|17|43|8|0|2|90|3|22|18|20|21|7|3|2|0|0|2|15|2|23|3|1|5|4|2|2|1|14|25|0|9|1|0|13|113|10|0|1|0|3|3|18|0|0|24|1|17|0|2|4|2
|Banewhip Punisher|88|8|10|1|0|1|1|0|12|95|34|6|1|6|60|0|1|2|2|4|16|6|6|51|34|0|5|41|27|4|46|0|57|77|8|3|6|0|8|0|2|31|3|10|10|36|2|4|1|1|0|0|2|2|2|5|0|5|1|5|3|2|1|19|3|0|0|1|1|13|25|29|3|1|0|0|3|4|0|0|26|2|17|0|2|4|2
|Grisly Survivor|62|8|10|0|0|1|0|16|26|31|20|21|1|7|90|0|17|28|22|16|37|15|32|3|15|21|18|0|22|4|80|0|4|75|33|16|12|94|8|0|2|150|5|8|1|40|12|0|2|2|0|0|2|12|2|16|0|13|0|5|10|7|1|12|0|0|18|1|0|13|20|8|12|1|0|1|3|20|0|0|57|17|17|0|2|4|2
|Beneath the Sands|58|8|6|0|0|1|0|9|154|146|49|11|1|42|86|0|3|40|16|21|13|9|32|44|13|17|8|7|13|1|102|0|4|0|35|10|4|0|8|0|2|96|22|5|15|19|38|34|13|2|0|0|2|16|2|15|0|4|20|1|32|9|1|13|3|0|10|1|0|13|0|29|4|1|0|22|3|20|0|0|39|7|17|0|2|4|2
|Bitterbow Sharpshooters|131|8|5|0|0|1|0|11|68|118|47|30|1|84|55|0|13|25|42|36|40|16|8|49|2|19|14|36|34|1|42|0|4|0|3|18|27|43|8|0|2|110|13|18|9|32|34|2|19|2|0|0|2|9|2|68|0|13|10|11|17|2|1|34|7|0|18|1|0|13|126|20|9|1|0|1|3|23|0|0|22|20|17|0|2|4|2
|Devotee of Strength|29|8|5|0|0|1|0|2|39|50|0|0|1|5|11|0|22|29|25|4|43|2|74|64|14|6|9|51|64|1|21|0|14|37|19|1|58|0|8|0|2|32|14|56|0|38|7|39|19|2|0|0|5|6|2|23|0|2|10|8|7|8|1|4|6|0|0|1|0|13|19|41|0|1|0|2|3|14|0|0|38|2|17|0|2|4|2
|Dune Diviner|31|8|2|0|0|1|0|4|10|52|28|3|1|7|7|0|34|1|6|13|15|10|27|23|0|7|1|6|59|2|15|2|17|9|23|8|40|6|4|0|2|20|1|26|5|5|8|72|3|3|0|0|5|2|2|19|0|2|1|4|12|6|1|30|10|0|15|1|1|13|9|38|0|1|0|1|3|13|0|0|6|3|17|0|2|4|2
|Feral Prowler|0|8|3|0|0|1|0|14|122|182|67|27|1|44|24|0|98|0|4|24|41|10|27|40|20|20|17|18|8|2|50|0|1|62|23|14|40|52|4|0|2|114|4|2|16|9|32|21|4|1|0|0|5|11|2|7|0|7|12|1|27|3|1|18|26|0|5|1|0|13|99|13|7|1|0|14|3|56|0|0|12|12|17|0|2|4|2
|Frilled Sandwalla|88|8|16|0|0|1|0|12|81|79|59|10|1|67|10|0|50|35|0|14|31|2|32|3|38|3|0|27|22|2|44|0|3|108|23|10|7|123|4|0|2|58|3|18|3|9|42|42|8|5|0|0|5|5|2|34|0|10|12|12|32|10|1|26|23|0|16|1|0|13|101|11|1|1|0|8|3|44|0|0|45|12|17|0|2|4|2
|Act of Heroism|75|8|7|0|0|1|0|11|80|40|100|4|1|5|28|0|12|30|2|40|36|5|24|23|14|12|27|8|32|0|106|0|4|122|38|12|36|8|3|0|2|144|0|6|7|13|27|4|12|1|0|0|5|19|2|66|0|5|0|1|1|1|1|32|15|0|23|1|0|13|42|11|1|1|0|34|3|0|0|0|48|14|17|0|2|4|2
|Aven of Enduring Hope|18|8|4|0|0|1|0|1|164|89|26|22|1|31|5|0|15|0|5|41|34|19|67|59|11|8|8|42|0|0|84|0|11|172|33|24|28|0|3|0|2|60|34|2|12|6|17|40|8|6|0|0|1|8|2|80|0|7|0|4|0|1|1|28|29|0|0|1|0|13|84|11|4|1|0|16|3|35|0|0|15|11|17|0|2|4|2
|Lethal Sting|162|8|14|0|0|1|0|12|104|76|10|26|1|13|67|0|8|23|13|0|3|3|16|54|48|34|30|0|8|6|105|0|7|165|50|16|0|138|3|0|2|120|11|20|6|29|21|11|2|8|0|0|0|20|2|16|0|7|6|1|24|7|1|32|29|0|4|1|0|13|114|23|6|1|0|20|3|45|0|0|22|13|17|0|2|4|2
|Lurching Rotbeast|135|8|5|0|0|1|0|5|130|187|5|36|1|19|77|0|26|17|14|4|36|15|3|56|30|19|4|5|21|1|31|1|3|214|10|2|44|77|3|0|2|124|9|2|5|11|26|38|1|1|0|0|0|12|2|48|0|2|1|0|8|5|1|23|9|0|10|1|0|13|75|18|1|1|0|17|3|34|0|0|12|5|17|0|2|4|2
|Moaning Wall|0|8|2|0|0|1|0|3|98|61|26|15|1|1|67|0|31|4|31|0|63|2|52|3|21|30|21|14|62|0|51|0|4|182|0|16|76|23|3|0|2|10|23|8|5|14|32|22|8|2|0|0|0|19|2|33|0|8|3|12|16|2|1|6|2|0|13|1|0|13|109|6|11|1|0|21|3|8|0|0|43|24|17|0|2|4|2
|Gift of Strength|167|8|9|0|0|1|0|2|15|173|30|0|1|33|94|0|38|34|25|16|42|10|0|41|2|9|7|5|13|4|33|0|8|155|23|27|25|129|3|0|2|79|22|12|9|28|9|42|13|6|0|0|0|14|2|64|0|9|8|17|10|5|1|8|3|0|78|1|0|13|28|30|11|1|0|4|3|2|0|0|0|13|17|0|2|4|2
|Harrier Naga|59|8|1|0|0|1|0|13|5|93|78|24|1|22|35|0|38|21|27|22|3|0|62|47|26|13|12|13|59|4|7|0|2|194|25|22|32|102|3|0|2|50|19|6|10|29|6|23|7|6|0|0|0|7|2|45|0|8|8|18|26|5|1|12|21|0|30|1|0|13|130|8|3|1|0|11|3|23|0|0|3|17|17|0|2|4|2
|Overcome|95|8|1|1|0|1|1|2|0|86|12|11|1|2|11|0|31|4|9|30|32|0|43|0|29|11|8|26|53|6|42|1|18|102|5|4|46|38|3|0|2|6|1|37|3|19|8|28|1|1|0|0|0|2|2|13|0|8|3|2|14|4|1|26|5|0|20|1|1|13|6|17|5|1|0|0|3|14|0|0|8|3|17|0|2|4|2
|Quarry Beetle|20|8|0|1|0|1|0|7|25|99|0|0|1|6|7|0|12|7|0|23|26|11|61|54|26|13|13|48|42|4|19|1|24|80|4|4|54|54|3|0|2|35|9|30|5|30|9|11|1|0|0|0|3|4|2|13|0|5|9|1|13|1|1|6|1|0|55|1|0|13|42|36|2|1|0|4|3|8|0|0|32|2|17|0|2|4|2
|Dauntless Aven|152|8|19|0|0|1|0|2|0|73|5|25|1|67|30|0|43|18|11|36|53|18|25|22|19|11|5|9|42|4|13|0|13|86|48|20|20|8|3|0|2|62|32|17|2|8|49|0|11|2|0|0|3|10|2|4|0|5|1|18|5|3|1|16|25|0|4|1|0|13|101|36|10|1|0|5|3|15|0|0|33|13|17|0|2|4|2
|Disposal Mummy|71|8|0|0|0|1|0|3|25|165|56|13|1|91|85|0|15|42|8|30|52|18|48|41|19|34|11|18|77|0|15|0|12|0|28|30|72|166|3|0|2|173|21|25|6|9|25|40|4|14|0|0|3|2|2|20|0|3|14|15|26|2|1|2|10|0|15|1|0|13|134|36|21|1|0|10|3|0|0|0|12|21|17|0|2|4|2
|Ruin Rat|61|8|1|0|0|1|1|6|158|71|30|4|1|21|4|0|4|38|18|18|9|1|0|3|28|4|4|2|4|3|7|0|8|106|25|28|56|113|3|0|2|29|17|4|2|18|7|31|6|8|0|0|1|9|2|24|0|4|6|12|30|6|1|24|30|0|20|1|0|13|113|18|5|1|0|5|3|44|0|0|53|6|17|0|2|4|2
|Scrounger of Souls|139|8|2|0|0|1|0|7|34|0|46|12|1|0|5|0|49|12|31|0|8|15|5|18|28|14|2|32|27|4|33|0|16|175|40|2|16|77|0|0|2|29|22|18|25|18|40|8|18|10|0|0|1|10|2|63|0|12|6|0|16|6|1|22|11|0|20|1|0|13|103|15|0|1|0|2|3|5|0|0|6|23|17|0|2|4|2
|Vile Manifestation|88|8|2|1|0|1|1|15|23|50|45|4|1|8|5|0|30|7|21|40|22|1|26|40|2|11|1|1|0|1|0|1|36|39|13|1|114|18|0|0|2|8|2|42|25|24|2|16|1|10|0|0|0|4|2|10|0|1|6|1|6|1|1|18|1|0|55|1|2|13|0|5|0|1|0|0|3|15|0|0|0|23|17|0|2|4|2
|Blur of Blades|113|8|5|0|0|1|0|7|113|33|92|39|1|86|75|0|12|19|22|11|64|13|8|36|32|14|4|5|48|1|133|1|9|9|30|34|6|8|0|0|2|20|15|6|6|36|8|8|9|10|0|0|0|14|2|13|0|8|2|9|18|5|1|34|14|0|1|2|0|13|18|22|4|1|0|8|3|2|0|0|45|3|17|0|2|4|2
|Burning-Fist Minotaur|0|8|1|0|0|1|0|14|48|106|72|6|1|6|31|0|19|11|22|38|63|13|23|33|18|1|8|35|48|4|51|0|29|50|20|3|50|18|0|0|2|40|12|6|11|11|0|30|4|10|0|0|0|2|2|5|1|8|2|0|14|5|1|22|14|0|82|2|0|13|8|31|9|1|0|2|3|11|0|0|15|1|17|0|2|4|2
|Crash Through|90|8|2|0|0|1|1|12|119|102|33|22|1|20|21|0|46|14|2|0|59|3|1|22|26|14|13|22|48|2|56|0|8|124|23|10|19|0|0|0|2|175|12|9|14|3|34|29|11|3|0|0|0|4|2|72|1|3|2|8|13|3|1|3|16|0|21|2|0|13|68|1|8|1|0|13|3|21|0|0|25|10|17|0|2|4|2
|Firebrand Archer|55|8|2|0|0|1|1|10|30|4|9|18|1|78|21|0|29|3|1|2|20|2|3|78|27|1|4|3|122|0|6|0|0|124|38|19|34|0|2|0|2|20|6|3|14|0|8|32|11|15|0|0|0|7|2|56|1|1|10|25|2|3|1|3|16|0|3|2|0|13|18|2|4|1|0|13|3|30|0|0|7|10|17|0|2|4|2
|Granitic Titan|156|8|7|0|0|1|0|14|107|110|0|15|1|74|16|0|26|8|0|10|40|21|53|32|0|24|5|7|23|0|32|0|4|180|30|10|76|31|2|0|2|162|3|0|6|34|24|40|1|7|0|0|1|1|2|37|1|1|7|7|26|2|1|36|27|0|8|2|0|13|168|15|4|1|0|2|3|30|0|0|6|7|17|0|2|4|2
|Rampaging Hippo|34|8|8|0|0|1|0|5|36|59|15|8|1|57|5|0|36|4|34|30|63|42|48|60|32|10|1|13|64|0|23|0|4|61|30|40|8|152|2|0|2|67|40|18|7|36|48|36|8|7|0|0|1|24|2|72|1|11|19|0|10|4|1|0|13|0|4|2|0|13|19|17|3|1|0|20|3|24|0|0|60|13|17|0|2|4|2
|Tenacious Hunter|56|8|5|1|0|1|0|4|41|105|35|8|1|2|4|0|22|10|7|32|80|0|24|4|29|5|6|8|0|3|36|1|6|100|10|2|90|10|2|0|2|36|3|38|7|29|2|76|4|7|0|0|8|8|2|13|0|2|4|2|4|5|1|0|6|0|15|2|1|13|48|3|1|1|0|4|3|8|0|0|18|0|17|0|2|4|2
|Obelisk Spider|124|8|5|0|0|1|0|13|40|29|6|8|1|3|11|0|24|1|2|27|4|4|26|54|22|1|6|15|0|5|0|3|17|33|8|2|92|54|0|0|2|22|3|17|7|5|2|22|4|1|0|0|8|0|2|8|0|2|4|1|18|5|1|2|6|0|12|1|1|13|9|4|4|1|0|1|3|1|0|0|0|0|17|0|2|4|2
|Dagger of the Worthy|88|8|1|1|0|1|0|8|23|121|54|4|1|5|6|0|39|2|0|42|16|8|0|9|27|2|2|30|18|5|5|2|12|102|18|3|47|28|7|0|2|6|1|68|10|11|4|20|4|2|0|0|8|11|2|8|0|1|4|2|14|3|1|15|6|0|95|1|0|13|0|37|3|1|0|7|3|12|0|0|15|2|17|0|2|4|2
|Graven Abomination|0|8|9|0|0|1|0|7|78|59|83|25|1|34|5|0|31|18|4|7|64|18|13|25|12|27|4|64|12|1|129|0|11|65|0|28|74|52|0|0|2|100|7|24|0|13|42|32|5|5|0|0|8|16|2|12|0|11|4|2|20|8|1|30|27|0|0|1|0|13|94|2|2|1|0|27|3|3|0|0|50|6|17|0|2|4|2
|Djeru's Renunciation|155|8|1|0|0|1|0|7|0|109|21|6|1|15|65|0|0|34|2|26|48|29|16|50|10|10|11|36|7|2|108|0|7|21|40|12|72|164|0|0|2|175|29|15|1|23|5|38|18|6|0|0|8|26|2|66|0|10|2|18|11|11|1|0|13|0|75|1|0|13|148|2|0|1|0|12|3|26|0|0|42|5|17|0|2|4|2
|Oketra's Avenger|163|8|7|0|0|1|0|10|145|10|52|26|1|16|65|0|23|0|24|21|45|15|29|61|28|13|16|26|11|1|99|0|2|147|8|12|65|0|0|0|2|10|7|10|7|23|2|8|1|1|0|0|8|22|2|25|0|2|3|7|13|0|1|6|11|0|38|1|0|13|66|2|7|1|0|27|3|42|0|0|9|2|17|0|2|4|2
|Saving Grace|99|8|7|0|0|1|0|14|45|66|42|3|1|0|22|0|7|20|11|18|8|15|0|38|6|5|3|45|23|4|61|1|5|74|0|7|17|64|0|0|2|55|2|36|5|5|5|25|1|0|0|0|5|5|2|16|0|3|5|7|2|1|1|20|9|0|76|1|0|13|22|36|0|1|0|9|3|1|0|0|29|10|17|0|2|4|2
|Unconventional Tactics|69|8|1|2|0|1|0|6|23|124|28|1|1|1|36|0|32|17|0|34|14|5|4|59|27|3|2|4|16|7|39|1|28|136|10|7|70|0|0|0|2|32|3|6|5|0|11|56|5|0|1|0|2|0|2|15|0|6|7|2|4|2|1|6|5|0|50|1|0|13|48|40|4|1|0|6|3|26|0|0|1|4|17|0|2|4|2
|Without Weakness|71|8|1|0|0|1|0|2|0|150|34|16|1|17|34|0|0|2|41|24|63|27|36|22|36|5|11|38|35|1|7|0|5|9|25|38|8|107|0|0|2|9|31|7|8|5|3|35|14|3|0|0|1|6|2|72|0|9|11|17|12|10|1|36|14|0|1|1|0|13|91|9|8|1|0|9|3|33|0|0|45|2|17|0|2|4|2
|Magmaroth|0|8|1|1|0|1|0|11|23|30|48|7|1|8|35|0|2|6|0|31|0|7|17|47|10|0|3|41|24|4|54|1|58|165|14|4|47|10|0|0|2|51|11|7|6|32|7|46|3|3|0|0|1|2|2|17|0|5|2|2|11|6|1|40|11|1|18|1|0|13|31|18|8|1|0|6|3|13|0|0|15|6|17|0|2|4|2
|Puncturing Blow|133|8|1|0|0|1|0|6|92|129|31|41|1|33|10|0|3|32|14|30|7|6|16|15|10|2|4|7|62|4|83|0|12|137|28|16|65|98|0|0|2|79|8|22|8|38|4|7|4|8|0|0|1|7|2|80|0|7|11|5|36|8|1|14|30|0|5|1|0|13|76|29|7|1|0|4|3|10|0|0|9|22|17|0|2|4|2
|Thorned Moloch|181|8|1|0|0|1|0|12|172|181|21|17|1|77|30|0|18|40|41|29|28|27|26|47|25|6|6|10|76|0|138|0|7|165|8|2|64|128|0|0|2|80|4|5|16|27|29|0|6|7|0|0|1|14|2|0|0|8|3|18|34|3|1|13|0|0|55|1|0|13|7|27|5|1|0|13|3|10|0|0|51|12|17|0|2|4|2
|Wall of Forgotten Pharaohs|42|8|4|0|0|1|0|9|22|31|20|21|1|32|13|0|15|23|13|38|68|2|24|34|13|0|20|7|9|0|7|0|1|47|28|16|30|27|0|0|2|163|4|2|15|10|11|38|7|8|0|0|1|1|2|55|0|3|24|11|1|8|1|34|4|0|74|1|0|13|116|11|5|1|0|23|3|47|0|0|21|12|17|0|2|4|2
